document_name,section,original_text,action,rewritten_text,reason,market_signal,confidence
aprendizaje automatico.docx,DESCRIPCIÓN DE LA ASIGNATURA,"Esta El aprendizaje automático es una rama de la inteligencia artificial que simula la forma en la que las personas aprenden en base a ejemplos y situaciones observadas. Los mecanismos de aprendizaje permiten que los sistemas cognitivos puedan operar y actuar en situaciones no contempladas previamente en su programación inicial. Es decir, el aprendizaje se considera una auto programación que permite incorporar en tiempo de ejecución nuevas reglas de actuación derivadas de la experiencia de interacción con el entorno. Las técnicas de aprendizaje automático se pueden considerar meta algoritmos que usan los datos de entrada como fuente de conocimiento para construir algoritmos de control o de extracción de conocimiento. El aprendizaje automático se puede dividir en aprendizaje supervisado, técnicas de agrupación y técnicas de detección de anomalías. El aprendizaje supervisado «aprende» a generalizar sobre datos no observados previamente en base a observaciones de ejemplos similares que se han realizado en la fase de entrenamiento o training. Las técnicas de agrupación «agrupan» los datos de acuerdo a medidas de similitud. Finalmente, las técnicas de detección de anomalías se basan en detectar los comportamientos que se salen de lo habitual.",actualizar,"Esta El aprendizaje automático es una rama de la inteligencia artificial que simula la forma en la que las personas aprenden en base a ejemplos y situaciones observadas. Los mecanismos de aprendizaje permiten que los sistemas cognitivos puedan operar y actuar en situaciones no contempladas previamente en su programación inicial. Es decir, el aprendizaje se considera una auto programación que permite incorporar en tiempo de ejecución nuevas reglas de actuación derivadas de la experiencia de interacción con el entorno. Las técnicas de aprendizaje automático se pueden considerar meta algoritmos que usan los datos de entrada como fuente de conocimiento para construir algoritmos de control o de extracción de conocimiento. El aprendizaje automático se puede dividir en aprendizaje supervisado, técnicas de agrupación y técnicas de detección de anomalías. El aprendizaje supervisado «aprende» a generalizar sobre datos no observados previamente en base a observaciones de ejemplos similares que se han realizado en la fase de entrenamiento o training. Las técnicas de agrupación «agrupan» los datos de acuerdo a medidas de similitud. Finalmente, las técnicas de detección de anomalías se basan en detectar los comportamientos que se salen de lo habitual.
Se orienta la asignatura hacia modelos predictivos aplicados, validación, interpretación y uso responsable de técnicas de inteligencia artificial.",Se actualiza la descripción para alinear la asignatura con señales actuales del mercado laboral.,"Python, R, machine learning aplicado, validación de modelos, ética de IA",0.86
aprendizaje automatico.docx,RESULTADOS DE APRENDIZAJE,"*Resultados de aprendizaje tomados del Documento maestro que se encuentra vigente.
Elaborar un software que permita hacer la clasificación de datos utilizando una función matemática y que permita diferenciar dichos datos en categorías.",profundizar,"*Resultados de aprendizaje tomados del Documento maestro que se encuentra vigente.
Elaborar un software que permita hacer la clasificación de datos utilizando una función matemática y que permita diferenciar dichos datos en categorías.
Aplicar modelos predictivos con Python o R considerando preparación de datos, entrenamiento, validación e interpretación de resultados.
Evaluar la pertinencia y límites de modelos de machine learning en escenarios de analítica institucional y empresarial.",Se incorporan resultados de aprendizaje observables y pertinentes frente al subdominio.,"Python, R, machine learning aplicado, validación de modelos, ética de IA",0.86
aprendizaje automatico.docx,CONTENIDO TEMÁTICO,"Tema 1. Introducción al aprendizaje automático
Aprendizaje supervisado: problemas de regresión
Aprendizaje supervisado: problemas de clasificación
Conjuntos de entrenamiento, test y validación cruzada
Técnicas de agrupamiento
Técnicas de detección de anomalías
Tema 2. Evaluación de algoritmos de regresión
Algoritmos de regresión
Métricas de error
Visualización de los errores
Tema 3. Evaluación de algoritmos de clasificación
Algoritmos de clasificación
Métricas de evaluación: matriz de confusión
Métricas de evaluación: curvas ROC, AUC
Tema 4. Aprendizaje supervisado: clasificación con Naive
Bayes
Teorema de Bayes
Tablas de probabilidad condicionada
Independencia condicional en el clasificador Naive Bayes
Clasificador Naive Bayes
Clasificador Naive Bayes con variables numéricas
Tema 5. Aprendizaje supervisado: regresión y clasificación
con árboles de decisión
Introducción a los árboles de decisión
Best split: entropía, Gini index, ganancia de información
Poda de los árboles
Árboles para clasificación
Árboles vs. modelos lineales
Tema 6.Aprendizaje supervisado: regresión y clasificación
con random forests
Explotando la diversidad: bagging y selección de variables
Interpretación del out-of-bag error
Evolución del número de árboles e importancia de variables
Referencias bibliográficas
Tema 7. Combinación de clasificadores: bootstrapping,
bagging y boosting
Introducción
Técnica de bootstrapping
Método bagging
Método boosting
Tema 8. Aprendizaje supervisado: regresión y clasificación
con máquinas de vector de soporte
Introducción las máquinas de vector de soporte:
hiperplanos
Separando por hiperplanos
Maximal-margin classifier
Soft margin
Kernel trick
Referencias bibliográficas
Tema 9. Aprendizaje supervisado: regresión y clasificación
con redes de neuronas
Neuronas artificiales
Arquitectura de una red de neuronas: capas, funciones de
activación
Algoritmo de entrenamiento: backpropagation
Tema 10.Técnicas de aprendizaje no supervisado:
agrupamiento
Introducción al aprendizaje no supervisado
Algoritmo de k-medias
Agrupamiento jerárquico
Tema 11.Técnicas de detección de anomalías
Introducción a la detección de anomalías
Aplicación de aprendizaje automático a la detección de
Anomalías
Tema 12.Aprendizaje por refuerzo y control
Introducción al aprendizaje por refuerzo
Algoritmos de aprendizaje por refuerzo
Tema 13.Parametrización automática y optimización de
algoritmos
Concepto de hiper-parámetros
Búsqueda cartesiana de hiper-parámetros
Búsqueda aleatoria de hiper-parámetros
ACTIVIDADES FORMATIVAS | ACTIVIDADES FORMATIVAS
Tipo actividad formativa | Descripción
Actividad 1. Caso Grupal: Detección de anomalías y técnicas de agrupamiento | Investigación aplicada a un proyecto
Actividad 2. Laboratorio: Árboles y random forest para regresión y clasificación | Investigación aplicada a un proyecto
EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN
Tipo de evaluación | Descripción | Instrumento de medición | Porcentaje
Evaluación continua  | Actividad práctica | 25%
Evaluación continua  | Actividad práctica | 25%
Evaluación continua  | Test | 10%
Evaluación final | Examen final en línea, de acuerdo con los parámetros establecidos | 40%",profundizar,"Tema 1. Introducción al aprendizaje automático
Aprendizaje supervisado: problemas de regresión
Aprendizaje supervisado: problemas de clasificación
Conjuntos de entrenamiento, test y validación cruzada
Técnicas de agrupamiento
Técnicas de detección de anomalías
Tema 2. Evaluación de algoritmos de regresión
Algoritmos de regresión
Métricas de error
Visualización de los errores
Tema 3. Evaluación de algoritmos de clasificación
Algoritmos de clasificación
Métricas de evaluación: matriz de confusión
Métricas de evaluación: curvas ROC, AUC
Tema 4. Aprendizaje supervisado: clasificación con Naive
Bayes
Teorema de Bayes
Tablas de probabilidad condicionada
Independencia condicional en el clasificador Naive Bayes
Clasificador Naive Bayes
Clasificador Naive Bayes con variables numéricas
Tema 5. Aprendizaje supervisado: regresión y clasificación
con árboles de decisión
Introducción a los árboles de decisión
Best split: entropía, Gini index, ganancia de información
Poda de los árboles
Árboles para clasificación
Árboles vs. modelos lineales
Tema 6.Aprendizaje supervisado: regresión y clasificación
con random forests
Explotando la diversidad: bagging y selección de variables
Interpretación del out-of-bag error
Evolución del número de árboles e importancia de variables
Referencias bibliográficas
Tema 7. Combinación de clasificadores: bootstrapping,
bagging y boosting
Introducción
Técnica de bootstrapping
Método bagging
Método boosting
Tema 8. Aprendizaje supervisado: regresión y clasificación
con máquinas de vector de soporte
Introducción las máquinas de vector de soporte:
hiperplanos
Separando por hiperplanos
Maximal-margin classifier
Soft margin
Kernel trick
Referencias bibliográficas
Tema 9. Aprendizaje supervisado: regresión y clasificación
con redes de neuronas
Neuronas artificiales
Arquitectura de una red de neuronas: capas, funciones de
activación
Algoritmo de entrenamiento: backpropagation
Tema 10.Técnicas de aprendizaje no supervisado:
agrupamiento
Introducción al aprendizaje no supervisado
Algoritmo de k-medias
Agrupamiento jerárquico
Tema 11.Técnicas de detección de anomalías
Introducción a la detección de anomalías
Aplicación de aprendizaje automático a la detección de
Anomalías
Tema 12.Aprendizaje por refuerzo y control
Introducción al aprendizaje por refuerzo
Algoritmos de aprendizaje por refuerzo
Tema 13.Parametrización automática y optimización de
algoritmos
Concepto de hiper-parámetros
Búsqueda cartesiana de hiper-parámetros
Búsqueda aleatoria de hiper-parámetros
ACTIVIDADES FORMATIVAS | ACTIVIDADES FORMATIVAS
Tipo actividad formativa | Descripción
Actividad 1. Caso Grupal: Detección de anomalías y técnicas de agrupamiento | Investigación aplicada a un proyecto
Actividad 2. Laboratorio: Árboles y random forest para regresión y clasificación | Investigación aplicada a un proyecto
EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN
Tipo de evaluación | Descripción | Instrumento de medición | Porcentaje
Evaluación continua  | Actividad práctica | 25%
Evaluación continua  | Actividad práctica | 25%
Evaluación continua  | Test | 10%
Evaluación final | Examen final en línea, de acuerdo con los parámetros establecidos | 40%
Flujo aplicado de machine learning: datos, entrenamiento, validación y evaluación.
Métricas de desempeño, sesgo, explicabilidad y ética de IA.
Notebooks reproducibles y comunicación de resultados predictivos.",Se profundiza contenido pertinente sin eliminar los temas vigentes del documento original.,"Python, R, machine learning aplicado, validación de modelos, ética de IA",0.86
aprendizaje automatico.docx,ACTIVIDADES FORMATIVAS,,actualizar,"Desarrollo de un caso aplicado con datos reales o simulados, evidencia de decisiones y sustentación ejecutiva.
Laboratorio guiado para producir un entregable verificable alineado con el foco de la asignatura.","Se agregan actividades prácticas trazables, manteniendo la orientación académica original.","Python, R, machine learning aplicado, validación de modelos, ética de IA",0.86
aprendizaje automatico.docx,MEDIOS EDUCATIVOS,"Bibliografía
Boser, B. E., Guyon, I. M. y Vapnik, V. N. (1992). A training algorithm for optimal margin classifiers (pp. 144-152). En Proceedings of the Fifth Annual Workshop on Computational Learning Theory.
Han, J., Kamber, M. y Pei, J. (2012). Data mining: concepts and technique. San Francisco: Morgan Kaufmann.
Lichman, M. (2013). UCI Machine Learning Repository Irvine. CA: University of California, School of Information and Computer Science. Recuperado de http://archive.ics.uci.edu/ml
Liu, B. (2010). Sentiment analysis and subjectivity. En Indurkhya, N. y Damerau, F. J. Handbook of Natural Language Processing (2a ed.). Boca Raton: CRC Press. McCulloch, W. S. y Pitts, W. (1943). A logical calculus of the ideas immanent in neurons activity. Bulletin of Mathematical Biophysics, 5, 115-133.
Maimon, O. y Rokach, L. (2005). Data Mining and Knowledge Discovery Handbook. Berlín: Springer Books.
Nisbet, R., Elder, J. y Miner, G. (2009). Handbook of Statistical Analysis and Data Mining Applications. Academic Press Books.
Poole, D. L. y Mackworth, A. K. (2010). Artificial intelligence: foundations of computational agents. New York: Cambridge University Press.
PERFIL DEL DOCENTE DE LA ASIGNATURA | PERFIL DEL DOCENTE DE LA ASIGNATURA
Característica | Descripción
Conocimientos (con evidencia de títulos en el área de  | Ingeniero con Doctorado o maestría en temas afines con  Inteligencia Artificial
Experiencia docente  | Experiencia mínima de un (1) año en docencia universitaria
Experiencia profesional en el área de | Experiencia de un año en proyectos de Inteligencia Artificial
Experiencia Investigativa | Experiencia de mínimo un año en proyectos de investigación
Experiencia con el sector externo | NA",actualizar,"Bibliografía
Boser, B. E., Guyon, I. M. y Vapnik, V. N. (1992). A training algorithm for optimal margin classifiers (pp. 144-152). En Proceedings of the Fifth Annual Workshop on Computational Learning Theory.
Han, J., Kamber, M. y Pei, J. (2012). Data mining: concepts and technique. San Francisco: Morgan Kaufmann.
Lichman, M. (2013). UCI Machine Learning Repository Irvine. CA: University of California, School of Information and Computer Science. Recuperado de http://archive.ics.uci.edu/ml
Liu, B. (2010). Sentiment analysis and subjectivity. En Indurkhya, N. y Damerau, F. J. Handbook of Natural Language Processing (2a ed.). Boca Raton: CRC Press. McCulloch, W. S. y Pitts, W. (1943). A logical calculus of the ideas immanent in neurons activity. Bulletin of Mathematical Biophysics, 5, 115-133.
Maimon, O. y Rokach, L. (2005). Data Mining and Knowledge Discovery Handbook. Berlín: Springer Books.
Nisbet, R., Elder, J. y Miner, G. (2009). Handbook of Statistical Analysis and Data Mining Applications. Academic Press Books.
Poole, D. L. y Mackworth, A. K. (2010). Artificial intelligence: foundations of computational agents. New York: Cambridge University Press.
PERFIL DEL DOCENTE DE LA ASIGNATURA | PERFIL DEL DOCENTE DE LA ASIGNATURA
Característica | Descripción
Conocimientos (con evidencia de títulos en el área de  | Ingeniero con Doctorado o maestría en temas afines con  Inteligencia Artificial
Experiencia docente  | Experiencia mínima de un (1) año en docencia universitaria
Experiencia profesional en el área de | Experiencia de un año en proyectos de Inteligencia Artificial
Experiencia Investigativa | Experiencia de mínimo un año en proyectos de investigación
Experiencia con el sector externo | NA
Datasets de práctica, notebooks o herramientas de analítica visual según disponibilidad institucional.
Recursos digitales para documentación, visualización, gobierno o procesamiento de datos según el foco de la asignatura.",Se incorporan recursos educativos coherentes con analítica aplicada y trabajo práctico.,"Python, R, machine learning aplicado, validación de modelos, ética de IA",0.86
aprendizaje automatico.docx,PERFIL DEL DOCENTE DE LA ASIGNATURA,,profundizar,"Experiencia demostrable en proyectos aplicados de analítica, inteligencia de negocio, gobierno de datos o big data relacionados con el foco de la asignatura.",Se sugiere perfil docente alineado con práctica profesional y pertinencia laboral.,"Python, R, machine learning aplicado, validación de modelos, ética de IA",0.86
Microcurrículos V5_Análisis e interpretación de datos.docx,DESCRIPCIÓN DE LA ASIGNATURA,"La era de la información en que vivimos requiere que sepamos manejar datos. La ciencia que se encarga de «aprender» a partir de estos datos es la estadística. Para aprender o leer estos datos debemos saber producirlos, analizarlos y sacar conclusiones de ellos. Cuanto mayor sea nuestra comprensión del uso de las herramientas estadísticas, mayor será nuestra capacidad de analizar la realidad (o leer la «historia» que hay en los datos), lo que nos permitirá tomar decisiones lo más correctas posibles. A día de hoy, no podemos tomar una decisión con garantías basándonos tan solo en nuestra intuición, es preciso echar mano de la estadística y sus herramientas.
Más específicamente, en esta asignatura se aprenderán los conceptos introductorios de la estadística, así como a razonar estadísticamente. Se aprenderá, entre otras cosas, a graficar las representaciones de datos más habituales, a manejar las relaciones lineales entre dos variables, etc.
Se hará hincapié en la estadística inferencial, para ello se repasarán los principios de probabilidad en los que esta descansa. Las técnicas inferenciales son importantes, pues nos permitirán contrastar conjeturas que hacemos constantemente sobre cómo es una determinada población a través de los llamados contrastes de hipótesis.
Por último, cabe destacar el carácter aplicado, dinámico y actual en el que se enmarca la asignatura, ya que se estudiarán casos reales de aplicación e informes estadísticos recientes de diferentes campos. Además, el enfoque didáctico que se va a emplear, dentro de la seriedad que se le presupone, procurará generar interés y aprecio por la ciencia estadística en el alumno.",actualizar,"La era de la información en que vivimos requiere que sepamos manejar datos. La ciencia que se encarga de «aprender» a partir de estos datos es la estadística. Para aprender o leer estos datos debemos saber producirlos, analizarlos y sacar conclusiones de ellos. Cuanto mayor sea nuestra comprensión del uso de las herramientas estadísticas, mayor será nuestra capacidad de analizar la realidad (o leer la «historia» que hay en los datos), lo que nos permitirá tomar decisiones lo más correctas posibles. A día de hoy, no podemos tomar una decisión con garantías basándonos tan solo en nuestra intuición, es preciso echar mano de la estadística y sus herramientas.
Más específicamente, en esta asignatura se aprenderán los conceptos introductorios de la estadística, así como a razonar estadísticamente. Se aprenderá, entre otras cosas, a graficar las representaciones de datos más habituales, a manejar las relaciones lineales entre dos variables, etc.
Se hará hincapié en la estadística inferencial, para ello se repasarán los principios de probabilidad en los que esta descansa. Las técnicas inferenciales son importantes, pues nos permitirán contrastar conjeturas que hacemos constantemente sobre cómo es una determinada población a través de los llamados contrastes de hipótesis.
Por último, cabe destacar el carácter aplicado, dinámico y actual en el que se enmarca la asignatura, ya que se estudiarán casos reales de aplicación e informes estadísticos recientes de diferentes campos. Además, el enfoque didáctico que se va a emplear, dentro de la seriedad que se le presupone, procurará generar interés y aprecio por la ciencia estadística en el alumno.
Se fortalece el enfoque en visual analytics, diseño de dashboards ejecutivos, criterios de usabilidad y narrativa con datos para la toma de decisiones.",Se actualiza la descripción para alinear la asignatura con señales actuales del mercado laboral.,"Power BI, Tableau, dashboards ejecutivos, storytelling with data, UX de visualización",0.86
Microcurrículos V5_Análisis e interpretación de datos.docx,RESULTADOS DE APRENDIZAJE,"Aplicar herramientas tecnológicas para el análisis estadístico descriptivo e inferencial.
Desarrollar modelos estadísticos para el análisis y visualización de datos.",profundizar,"Aplicar herramientas tecnológicas para el análisis estadístico descriptivo e inferencial.
Desarrollar modelos estadísticos para el análisis y visualización de datos.
Diseñar visualizaciones interactivas orientadas a decisiones ejecutivas, aplicando principios de claridad, jerarquía visual y storytelling with data.
Construir dashboards en Power BI o Tableau integrando métricas, segmentaciones y evidencia para públicos estratégicos.",Se incorporan resultados de aprendizaje observables y pertinentes frente al subdominio.,"Power BI, Tableau, dashboards ejecutivos, storytelling with data, UX de visualización",0.86
Microcurrículos V5_Análisis e interpretación de datos.docx,CONTENIDO TEMÁTICO,"Tema 1. Introducción a la estadística
•	¿Qué es la estadística?
•	Población, muestra y muestreo
•	Tipos de variables estadísticas
•	Diseños de experimentos
•	Razonamiento estadístico
•	Representando  los  datos:  distribución  de frecuencias
•	Tabulación de variables
•	Graficas básicas
•	El arte de elegir el gráfico adecuado
•	Retos de la estadística en Big Data
Tema 2. Estadística computacional
•	Principios básicos
•	Ámbitos de aplicación
•	Técnicas básicas de programación
•	Presentación del software R
Tema 3. Medidas que resumen la información
•	Medidas de tendencia central
•	Medidas de tendencia central robustas
•	Medidas de dispersión
•	Medidas de dispersión robustas
•	Medidas de posición y forma
•	Gráficos de caja
•	Datos atípicos y análisis exploratorio de datos
Tema 4. Regresión y correlación
•	Introducción
•	Correlación
•	Regresión lineal
•	Gráfico de residuos
•	Regresión lineal multivariante
•	Regresión no lineal
•	LTS (Least Trimmed Squares)
Tema 5. Probabilidad condicional y variables aleatorias
•	Introducción a la teoría de la probabilidad
•	Principios de la teoría de la probabilidad
•	Probabilidad condicional e independencia
•	Variable aleatoria
•	Modelos discretos
•	Modelos continuos
Tema 6. Distribución en el muestreo
•	Distribución en el muestreo del conteo y la proporción muestral
•	Teorema Central del Límite y distribución de  la media muestral
•	Aplicabilidad del Teorema Central del Límite en ámbitos Big Data
•	Estimación puntual vs. estimación por intervalos
•	Propiedades de los estimadores
Tema 7. Intervalos de confianza
•	Introducción a los intervalos de confianza
•	Intervalo de confianza para la media de una población normal: varianza conocida y desconocida
•	Calculando el tamaño de la muestra
•	Intervalo de confianza para la proporción
•	Intervalo de confianza para la varianza de una población normal
•	Intervalo de confianza para la diferencia de medias y proporciones
•	Intervalos de confianza robustos
Tema 8. Contrastes de hipótesis
•	Introducción a los contrastes de hipótesis
•	Dos tipos de error en la significancia estadística
•	Pasos a seguir en un contraste de hipótesis
•	Contrastes de hipótesis para una media
•	Contrastes de hipótesis para la proporción
•	Contrastes de hipótesis sobre la varianza
•	Contrastes paramétricos para dos muestras
•	Contrastes de hipótesis robustos
Tema 9. Regresión
•	El modelo de regresión simple
•	Contrastando la regresión
•	Contrastando la regresión con el programa
•	La regresión como suma de cuadrados
•	Aplicación de las TIC
Tema 10. Análisis de componentes principales
•	Motivación
•	Definición
•	Aplicaciones
•	Ejemplo de aplicación en R
ACTIVIDADES FORMATIVAS | ACTIVIDADES FORMATIVAS
Tipo actividad formativa | Descripción
Sesiones presenciales virtuales.
Foro.
Lecciones magistrales.
Laboratorios.
Test. | Las actividades formativas de la asignatura se han elaborado con el objetivo de adaptar el proceso de aprendizaje a las diferentes capacidades, necesidades e intereses de los alumnos
EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN
Tipo de evaluación | Descripción | Instrumento de medición | Porcentaje
Evaluación continua  | Actividad 1. Estadística descriptiva: información a partir del análisis crítico de datos. | Rúbrica de evaluación | 27%
Evaluación continua  | Actividad 2. Estadística Inferencial del análisis muestral a la predicción poblacional. | Rúbrica de evaluación | 27%
Evaluación continua  | Test | Test | 6%
Evaluación final | Examen final on line, de acuerdo con los parámetros establecidos | Prueba tipo Saber Pro | 40%",profundizar,"Tema 1. Introducción a la estadística
•	¿Qué es la estadística?
•	Población, muestra y muestreo
•	Tipos de variables estadísticas
•	Diseños de experimentos
•	Razonamiento estadístico
•	Representando  los  datos:  distribución  de frecuencias
•	Tabulación de variables
•	Graficas básicas
•	El arte de elegir el gráfico adecuado
•	Retos de la estadística en Big Data
Tema 2. Estadística computacional
•	Principios básicos
•	Ámbitos de aplicación
•	Técnicas básicas de programación
•	Presentación del software R
Tema 3. Medidas que resumen la información
•	Medidas de tendencia central
•	Medidas de tendencia central robustas
•	Medidas de dispersión
•	Medidas de dispersión robustas
•	Medidas de posición y forma
•	Gráficos de caja
•	Datos atípicos y análisis exploratorio de datos
Tema 4. Regresión y correlación
•	Introducción
•	Correlación
•	Regresión lineal
•	Gráfico de residuos
•	Regresión lineal multivariante
•	Regresión no lineal
•	LTS (Least Trimmed Squares)
Tema 5. Probabilidad condicional y variables aleatorias
•	Introducción a la teoría de la probabilidad
•	Principios de la teoría de la probabilidad
•	Probabilidad condicional e independencia
•	Variable aleatoria
•	Modelos discretos
•	Modelos continuos
Tema 6. Distribución en el muestreo
•	Distribución en el muestreo del conteo y la proporción muestral
•	Teorema Central del Límite y distribución de  la media muestral
•	Aplicabilidad del Teorema Central del Límite en ámbitos Big Data
•	Estimación puntual vs. estimación por intervalos
•	Propiedades de los estimadores
Tema 7. Intervalos de confianza
•	Introducción a los intervalos de confianza
•	Intervalo de confianza para la media de una población normal: varianza conocida y desconocida
•	Calculando el tamaño de la muestra
•	Intervalo de confianza para la proporción
•	Intervalo de confianza para la varianza de una población normal
•	Intervalo de confianza para la diferencia de medias y proporciones
•	Intervalos de confianza robustos
Tema 8. Contrastes de hipótesis
•	Introducción a los contrastes de hipótesis
•	Dos tipos de error en la significancia estadística
•	Pasos a seguir en un contraste de hipótesis
•	Contrastes de hipótesis para una media
•	Contrastes de hipótesis para la proporción
•	Contrastes de hipótesis sobre la varianza
•	Contrastes paramétricos para dos muestras
•	Contrastes de hipótesis robustos
Tema 9. Regresión
•	El modelo de regresión simple
•	Contrastando la regresión
•	Contrastando la regresión con el programa
•	La regresión como suma de cuadrados
•	Aplicación de las TIC
Tema 10. Análisis de componentes principales
•	Motivación
•	Definición
•	Aplicaciones
•	Ejemplo de aplicación en R
ACTIVIDADES FORMATIVAS | ACTIVIDADES FORMATIVAS
Tipo actividad formativa | Descripción
Sesiones presenciales virtuales.
Foro.
Lecciones magistrales.
Laboratorios.
Test. | Las actividades formativas de la asignatura se han elaborado con el objetivo de adaptar el proceso de aprendizaje a las diferentes capacidades, necesidades e intereses de los alumnos
EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN | EVALUACIÓN Y CALIFICACIÓN
Tipo de evaluación | Descripción | Instrumento de medición | Porcentaje
Evaluación continua  | Actividad 1. Estadística descriptiva: información a partir del análisis crítico de datos. | Rúbrica de evaluación | 27%
Evaluación continua  | Actividad 2. Estadística Inferencial del análisis muestral a la predicción poblacional. | Rúbrica de evaluación | 27%
Evaluación continua  | Test | Test | 6%
Evaluación final | Examen final on line, de acuerdo con los parámetros establecidos | Prueba tipo Saber Pro | 40%
Storytelling with data y comunicación ejecutiva de hallazgos.
Diseño de dashboards, interacción, navegación y criterios UX para analítica visual.
Buenas prácticas en Power BI, Tableau y visualización orientada a indicadores.",Se profundiza contenido pertinente sin eliminar los temas vigentes del documento original.,"Power BI, Tableau, dashboards ejecutivos, storytelling with data, UX de visualización",0.86
Microcurrículos V5_Análisis e interpretación de datos.docx,ACTIVIDADES FORMATIVAS,,actualizar,"Desarrollo de un caso aplicado con datos reales o simulados, evidencia de decisiones y sustentación ejecutiva.
Laboratorio guiado para producir un entregable verificable alineado con el foco de la asignatura.","Se agregan actividades prácticas trazables, manteniendo la orientación académica original.","Power BI, Tableau, dashboards ejecutivos, storytelling with data, UX de visualización",0.86
