company,dominant_stack,dominant_cluster,hiring_velocity,ai_adoption_score,cloud_maturity_score,bi_maturity_score,technology_maturity,top_skills,top_clusters,evidence
SETI,"security, AWS, Azure, comunicacion, data governance",Governance & Quality,1.0,0.1328,0.277,0.2998,growing,"[""security"", ""AWS"", ""Azure"", ""comunicacion"", ""data governance"", ""BI"", ""compliance"", ""Oracle""]","[""Governance & Quality"", ""Cloud Analytics"", ""Analytics Engineering"", ""Enterprise Analytics"", ""AI Analytics""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""security"", ""AWS"", ""Azure"", ""comunicacion"", ""data governance"", ""BI"", ""compliance"", ""Oracle""], ""dominant_clusters"": [""Governance & Quality"", ""Cloud Analytics"", ""Analytics Engineering"", ""Enterprise Analytics"", ""AI Analytics""]}"
Importante empresa Colombiana,"APIs, Oracle, Python, comunicacion, Azure",AI Analytics,0.7,0.2451,0.251,0.1333,growing,"[""APIs"", ""Oracle"", ""Python"", ""comunicacion"", ""Azure"", ""AWS"", ""liderazgo"", ""gestion de stakeholders""]","[""AI Analytics"", ""Cloud Analytics"", ""Governance & Quality""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""APIs"", ""Oracle"", ""Python"", ""comunicacion"", ""Azure"", ""AWS"", ""liderazgo"", ""gestion de stakeholders""], ""dominant_clusters"": [""AI Analytics"", ""Cloud Analytics"", ""Governance & Quality""]}"
Venta Equipos,"comunicacion, resolucion de problemas, ITIL, trabajo en equipo, reporting",Cloud Analytics,0.45,0.1634,0.183,0.4314,growing,"[""comunicacion"", ""resolucion de problemas"", ""ITIL"", ""trabajo en equipo"", ""reporting"", ""Agile"", ""Power BI"", ""security""]","[""Cloud Analytics"", ""BI & Visualization"", ""AI Analytics"", ""Governance & Quality""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""comunicacion"", ""resolucion de problemas"", ""ITIL"", ""trabajo en equipo"", ""reporting"", ""Agile"", ""Power BI"", ""security""], ""dominant_clusters"": [""Cloud Analytics"", ""BI & Visualization"", ""AI Analytics"", ""Governance & Quality""]}"
Indra,"AI, Azure, APIs, AWS, comunicacion",AI Analytics,0.3,0.6888,0.2245,0.1633,growing,"[""AI"", ""Azure"", ""APIs"", ""AWS"", ""comunicacion"", ""trabajo en equipo"", ""security"", ""MLflow""]","[""AI Analytics"", ""Cloud Analytics""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""AI"", ""Azure"", ""APIs"", ""AWS"", ""comunicacion"", ""trabajo en equipo"", ""security"", ""MLflow""], ""dominant_clusters"": [""AI Analytics"", ""Cloud Analytics""]}"
TICXAR,"ingles, comunicacion, Agile, AWS, Azure",AI Analytics,0.3,0.5051,0.2222,0.2222,growing,"[""ingles"", ""comunicacion"", ""Agile"", ""AWS"", ""Azure"", ""Python"", ""compliance"", ""security""]","[""AI Analytics"", ""Cloud Analytics"", ""Enterprise Analytics""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""ingles"", ""comunicacion"", ""Agile"", ""AWS"", ""Azure"", ""Python"", ""compliance"", ""security""], ""dominant_clusters"": [""AI Analytics"", ""Cloud Analytics"", ""Enterprise Analytics""]}"
CS3,"comunicacion, APIs, trabajo en equipo, Azure, security",AI Analytics,0.3,0.2778,0.2,0.0667,growing,"[""comunicacion"", ""APIs"", ""trabajo en equipo"", ""Azure"", ""security"", ""Oracle"", ""AWS"", ""pensamiento analitico""]","[""AI Analytics"", ""Cloud Analytics"", ""BI & Visualization"", ""Analytics Engineering""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""comunicacion"", ""APIs"", ""trabajo en equipo"", ""Azure"", ""security"", ""Oracle"", ""AWS"", ""pensamiento analitico""], ""dominant_clusters"": [""AI Analytics"", ""Cloud Analytics"", ""BI & Visualization"", ""Analytics Engineering""]}"
TALENTO SOLIDO,"AWS, comunicacion, trabajo en equipo, security, resolucion de problemas",Governance & Quality,0.25,0.0,0.2222,0.0,growing,"[""AWS"", ""comunicacion"", ""trabajo en equipo"", ""security"", ""resolucion de problemas"", ""Oracle"", ""ITIL"", ""compliance""]","[""Governance & Quality"", ""Enterprise Analytics""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""AWS"", ""comunicacion"", ""trabajo en equipo"", ""security"", ""resolucion de problemas"", ""Oracle"", ""ITIL"", ""compliance""], ""dominant_clusters"": [""Governance & Quality"", ""Enterprise Analytics""]}"
GINKO FINANCIAL SOLUTIONS,"SQL, Python, pipelines, comunicacion, Oracle",Cloud Analytics,0.2,0.0,0.2951,0.1311,growing,"[""SQL"", ""Python"", ""pipelines"", ""comunicacion"", ""Oracle"", ""liderazgo"", ""AWS"", ""APIs""]","[""Cloud Analytics"", ""Governance & Quality""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""SQL"", ""Python"", ""pipelines"", ""comunicacion"", ""Oracle"", ""liderazgo"", ""AWS"", ""APIs""], ""dominant_clusters"": [""Cloud Analytics"", ""Governance & Quality""]}"
Confidencial2,"Azure, comunicacion, KPIs, security, compliance",Governance & Quality,0.05,0.0,0.3333,0.6667,growing,"[""Azure"", ""comunicacion"", ""KPIs"", ""security"", ""compliance"", ""reporting""]","[""Governance & Quality""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""Azure"", ""comunicacion"", ""KPIs"", ""security"", ""compliance"", ""reporting""], ""dominant_clusters"": [""Governance & Quality""]}"
Desarrollo de Software Importante empresa Colombiana,"ingles, Agile, APIs, AWS, Azure",Governance & Quality,0.05,0.0,0.3,0.3,growing,"[""ingles"", ""Agile"", ""APIs"", ""AWS"", ""Azure"", ""comunicacion"", ""GCP"", ""liderazgo""]","[""Governance & Quality""]","{""metric_period"": ""2026-05"", ""dominant_skills"": [""ingles"", ""Agile"", ""APIs"", ""AWS"", ""Azure"", ""comunicacion"", ""GCP"", ""liderazgo""], ""dominant_clusters"": [""Governance & Quality""]}"
